EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	19:56:16	0	0.1000	19.282065138966342		_	_	_	_	15.523669242858887	0.0	0.0	0.0	0.0	_	0.0213	0.0018	0.0034	0.0033
1	19:58:14	0	0.1000	12.436092526853841		_	_	_	_	11.827692985534668	0.1048	0.0176	0.0302	0.0301	_	0.1811	0.0424	0.0687	0.0687
2	20:00:05	0	0.1000	10.127114161719792		_	_	_	_	9.772640228271484	0.0987	0.0705	0.0822	0.0823	_	0.1507	0.1215	0.1346	0.1345
3	20:01:56	0	0.1000	8.71958517185285		_	_	_	_	8.69266128540039	0.3127	0.3157	0.3142	0.3142	_	0.3381	0.3517	0.3448	0.3448
4	20:03:49	0	0.1000	7.893121170949904		_	_	_	_	7.929448127746582	0.401	0.4054	0.4032	0.4032	_	0.4288	0.4438	0.4362	0.4362
5	20:05:38	0	0.1000	7.238084687480455		_	_	_	_	7.223570346832275	0.4492	0.4535	0.4514	0.4513	_	0.4695	0.4954	0.4821	0.4821
6	20:07:27	0	0.1000	6.83833318586903		_	_	_	_	6.590437412261963	0.4735	0.5144	0.4931	0.4931	_	0.5098	0.5727	0.5395	0.5394
7	20:09:17	0	0.1000	6.248010076786217		_	_	_	_	6.044938564300537	0.5065	0.5593	0.5316	0.5316	_	0.5372	0.6114	0.5719	0.5719
8	20:11:06	0	0.1000	5.826831499523445		_	_	_	_	5.571813583374023	0.5382	0.5978	0.5664	0.5664	_	0.5604	0.6575	0.6051	0.6051
9	20:13:19	0	0.1000	5.57317185354201		_	_	_	_	5.224013328552246	0.5664	0.6154	0.5899	0.5899	_	0.5878	0.6722	0.6271	0.6272
10	20:15:22	0	0.1000	5.097731017048475		_	_	_	_	4.906778812408447	0.5726	0.6442	0.6063	0.6063	_	0.5823	0.6906	0.6318	0.6318
11	20:17:29	0	0.1000	4.88671119695031		_	_	_	_	4.672459602355957	0.6153	0.6715	0.6421	0.6422	_	0.6048	0.6961	0.6473	0.6472
12	20:19:33	0	0.1000	4.771219799405658		_	_	_	_	4.4167399406433105	0.6274	0.6907	0.6575	0.6575	_	0.6242	0.7127	0.6655	0.6655
13	20:21:37	0	0.1000	4.601388779857144		_	_	_	_	4.231295108795166	0.6392	0.6955	0.6662	0.6662	_	0.6252	0.7127	0.6661	0.6661
14	20:23:41	0	0.1000	4.518804294415678		_	_	_	_	4.014710903167725	0.6309	0.7067	0.6667	0.6667	_	0.6332	0.7311	0.6786	0.6786
15	20:25:46	0	0.1000	4.193194012072501		_	_	_	_	3.855642080307007	0.6761	0.7292	0.7016	0.7016	_	0.6694	0.7495	0.7072	0.7072
16	20:27:49	0	0.1000	4.096574150935422		_	_	_	_	3.6828079223632812	0.656	0.7212	0.687	0.6871	_	0.6732	0.7624	0.715	0.715
17	20:29:54	0	0.1000	3.8678447425643787		_	_	_	_	3.533104181289673	0.713	0.7564	0.7341	0.7341	_	0.7116	0.7772	0.743	0.743
18	20:31:58	0	0.1000	3.8149483230926737		_	_	_	_	3.406381130218506	0.7208	0.7821	0.7502	0.7502	_	0.714	0.7864	0.7485	0.7485
19	20:34:03	0	0.1000	3.416072219431281		_	_	_	_	3.2893474102020264	0.7265	0.7788	0.7517	0.7517	_	0.7162	0.7808	0.7471	0.7471
20	20:36:09	0	0.1000	3.442634002298733		_	_	_	_	3.188311815261841	0.7406	0.7869	0.763	0.763	_	0.731	0.7956	0.7619	0.7619
21	20:38:11	1	0.1000	3.310354832095095		_	_	_	_	3.1584665775299072	0.7612	0.7869	0.7738	0.7738	_	0.744	0.7974	0.7698	0.7698
22	20:40:16	0	0.1000	3.119005858540296		_	_	_	_	3.012023448944092	0.7669	0.8013	0.7837	0.7837	_	0.7612	0.8103	0.785	0.785
23	20:42:20	0	0.1000	3.1839610195859738		_	_	_	_	2.9672815799713135	0.7906	0.8109	0.8006	0.8006	_	0.7656	0.8122	0.7882	0.7882
24	20:44:22	1	0.1000	3.094566233242409		_	_	_	_	2.844665765762329	0.7867	0.8157	0.8009	0.8009	_	0.773	0.8214	0.7964	0.7965
25	20:46:24	0	0.1000	2.954466554464858		_	_	_	_	2.7482845783233643	0.7883	0.8237	0.8056	0.8056	_	0.7711	0.825	0.7972	0.7971
26	20:48:28	0	0.1000	2.8528729541211066		_	_	_	_	2.709282398223877	0.7978	0.8221	0.8098	0.8098	_	0.7857	0.8306	0.8075	0.8075
27	20:50:32	0	0.1000	2.946529235738051		_	_	_	_	2.6349215507507324	0.8006	0.8237	0.812	0.812	_	0.7782	0.8269	0.8018	0.8018
28	20:52:33	1	0.1000	2.8646161344705066		_	_	_	_	2.5771145820617676	0.8003	0.8285	0.8142	0.8142	_	0.8	0.8471	0.8229	0.8229
29	20:54:36	2	0.1000	2.6351091360711827		_	_	_	_	2.559013605117798	0.8162	0.8253	0.8207	0.8207	_	0.7954	0.8306	0.8126	0.8126
30	20:56:42	0	0.1000	2.680110356265342		_	_	_	_	2.457022190093994	0.8128	0.8349	0.8237	0.8237	_	0.7924	0.8435	0.8171	0.8172
31	20:58:43	1	0.1000	2.5814243746726335		_	_	_	_	2.4337379932403564	0.8109	0.8381	0.8243	0.8243	_	0.79	0.8453	0.8167	0.8167
32	21:00:49	0	0.1000	2.2823515708164983		_	_	_	_	2.3597517013549805	0.8199	0.8462	0.8328	0.8328	_	0.7993	0.8508	0.8243	0.8242
33	21:02:47	0	0.1000	2.3154367557599436		_	_	_	_	2.3531253337860107	0.821	0.8381	0.8295	0.8295	_	0.8084	0.8545	0.8308	0.8308
34	21:04:44	1	0.1000	2.32702131697621		_	_	_	_	2.3048784732818604	0.8175	0.8397	0.8285	0.8285	_	0.8021	0.8508	0.8257	0.8257
35	21:06:40	2	0.1000	2.1634615897496117		_	_	_	_	2.3316245079040527	0.8336	0.8429	0.8382	0.8382	_	0.8198	0.8545	0.8368	0.8368
36	21:08:35	0	0.1000	2.1619370914125855		_	_	_	_	2.240103244781494	0.831	0.859	0.8448	0.8448	_	0.8255	0.8711	0.8477	0.8477
37	21:10:33	0	0.1000	2.394802943478432		_	_	_	_	2.215573310852051	0.8375	0.851	0.8442	0.8442	_	0.8252	0.8692	0.8466	0.8466
38	21:12:40	1	0.1000	2.2846983539970656		_	_	_	_	2.2208282947540283	0.836	0.8494	0.8426	0.8426	_	0.819	0.8582	0.8381	0.8381
39	21:14:32	2	0.1000	1.9596933386499202		_	_	_	_	2.134641408920288	0.8372	0.8574	0.8472	0.8472	_	0.8325	0.8785	0.8548	0.8549
40	21:16:26	0	0.1000	2.112793711839794		_	_	_	_	2.1817166805267334	0.853	0.8558	0.8544	0.8544	_	0.8325	0.8692	0.8505	0.8505
41	21:18:19	1	0.1000	2.1660350967519197		_	_	_	_	2.1224148273468018	0.8533	0.8574	0.8553	0.8553	_	0.8416	0.8711	0.8561	0.8561
42	21:20:13	2	0.1000	1.992366984178417		_	_	_	_	2.085193157196045	0.849	0.8558	0.8524	0.8524	_	0.8475	0.8803	0.8636	0.8636
43	21:22:06	3	0.1000	2.1052133217901288		_	_	_	_	2.064817428588867	0.8551	0.8606	0.8578	0.8578	_	0.8431	0.8711	0.8569	0.8569
44	21:24:06	0	0.0500	1.9625371560166087		_	_	_	_	2.0510456562042236	0.8524	0.8606	0.8565	0.8565	_	0.8571	0.884	0.8704	0.8703
45	21:26:03	1	0.0500	1.9407943142820312		_	_	_	_	2.0482375621795654	0.8452	0.8574	0.8512	0.8513	_	0.8528	0.8858	0.869	0.869
46	21:28:06	0	0.0500	1.860979064931227		_	_	_	_	2.0531108379364014	0.851	0.8606	0.8558	0.8558	_	0.8511	0.884	0.8672	0.8672
47	21:30:09	0	0.0500	1.8632822819277792		_	_	_	_	2.0425713062286377	0.8508	0.859	0.8549	0.8549	_	0.841	0.8766	0.8584	0.8584
48	21:32:24	1	0.0500	1.9176636378394516		_	_	_	_	2.0784921646118164	0.8633	0.8606	0.862	0.8619	_	0.8452	0.8748	0.8597	0.8597
49	21:34:18	2	0.0500	1.8572207330623574		_	_	_	_	2.014554262161255	0.8517	0.8654	0.8585	0.8585	_	0.8472	0.8785	0.8626	0.8626
50	21:36:10	0	0.0500	1.7752963632961525		_	_	_	_	1.9972139596939087	0.8513	0.8622	0.8567	0.8567	_	0.8559	0.8858	0.8706	0.8706
51	21:38:03	0	0.0500	1.6580731561774011		_	_	_	_	1.9860966205596924	0.8472	0.8622	0.8546	0.8546	_	0.8594	0.8895	0.8742	0.8742
52	21:39:55	0	0.0500	1.7271633071848518		_	_	_	_	1.9983453750610352	0.8499	0.8622	0.856	0.856	_	0.8577	0.8877	0.8724	0.8724
53	21:41:47	1	0.0500	1.8280832253749406		_	_	_	_	1.9782167673110962	0.8475	0.8638	0.8556	0.8556	_	0.8556	0.884	0.8696	0.8696
54	21:43:40	2	0.0500	1.7086224177426064		_	_	_	_	1.9573726654052734	0.8462	0.8638	0.8549	0.8549	_	0.8579	0.8895	0.8734	0.8734
55	21:45:32	3	0.0500	1.733023259860822		_	_	_	_	1.9724767208099365	0.851	0.8606	0.8558	0.8558	_	0.8556	0.884	0.8696	0.8696
56	21:47:25	0	0.0250	1.802282964491383		_	_	_	_	1.9788603782653809	0.8569	0.8638	0.8603	0.8603	_	0.8605	0.8858	0.873	0.873
57	21:49:17	1	0.0250	1.6875171203307902		_	_	_	_	1.9643625020980835	0.8556	0.8638	0.8596	0.8597	_	0.8554	0.8821	0.8685	0.8685
58	21:51:08	2	0.0250	1.7064444158298322		_	_	_	_	1.9704896211624146	0.854	0.8622	0.8581	0.8581	_	0.8587	0.884	0.8711	0.8712
59	21:53:01	3	0.0250	1.8276663908090012		_	_	_	_	1.9511641263961792	0.851	0.8606	0.8558	0.8558	_	0.8592	0.8877	0.8732	0.8732
60	21:54:52	0	0.0125	1.7810317873557144		_	_	_	_	1.9430582523345947	0.8497	0.8606	0.8551	0.8551	_	0.8592	0.8877	0.8732	0.8732
61	21:56:36	1	0.0125	1.7155287566385402		_	_	_	_	1.9500046968460083	0.8542	0.8638	0.859	0.859	_	0.8574	0.8858	0.8714	0.8714
62	21:58:23	2	0.0125	1.6808471577894377		_	_	_	_	1.9586139917373657	0.8494	0.859	0.8542	0.8542	_	0.8589	0.8858	0.8722	0.8721
63	22:00:11	3	0.0125	1.7068470216258675		_	_	_	_	1.9559038877487183	0.8524	0.8606	0.8565	0.8565	_	0.8574	0.8858	0.8714	0.8714
64	22:01:57	0	0.0063	1.659280902946528		_	_	_	_	1.9555165767669678	0.8524	0.8606	0.8565	0.8565	_	0.8589	0.8858	0.8722	0.8721
65	22:03:45	1	0.0063	1.5854402781328096		_	_	_	_	1.9540801048278809	0.8553	0.8622	0.8587	0.8587	_	0.8589	0.8858	0.8722	0.8721
66	22:05:35	0	0.0063	1.5402250919761937		_	_	_	_	1.9404433965682983	0.8587	0.867	0.8628	0.8628	_	0.861	0.8895	0.875	0.875
67	22:07:24	0	0.0063	1.7017035659270894		_	_	_	_	1.9467884302139282	0.854	0.8622	0.8581	0.8581	_	0.8607	0.8877	0.874	0.874
68	22:09:12	1	0.0063	1.5452029436250143		_	_	_	_	1.9470149278640747	0.8542	0.8638	0.859	0.859	_	0.8592	0.8877	0.8732	0.8732
69	22:10:59	2	0.0063	1.6292784832731098		_	_	_	_	1.9393744468688965	0.8558	0.8654	0.8606	0.8606	_	0.861	0.8895	0.875	0.875
70	22:12:46	3	0.0063	1.677028762888638		_	_	_	_	1.9419574737548828	0.8528	0.8638	0.8583	0.8583	_	0.861	0.8895	0.875	0.875
71	22:14:53	0	0.0031	1.570672436663912		_	_	_	_	1.944309949874878	0.8542	0.8638	0.859	0.859	_	0.8592	0.8877	0.8732	0.8732
72	22:16:44	1	0.0031	1.5619962843678012		_	_	_	_	1.9419759511947632	0.8571	0.8654	0.8612	0.8612	_	0.8592	0.8877	0.8732	0.8732
73	22:18:34	2	0.0031	1.6745632596617146		_	_	_	_	1.9405988454818726	0.8528	0.8638	0.8583	0.8583	_	0.861	0.8895	0.875	0.875
74	22:20:23	3	0.0031	1.562207706138402		_	_	_	_	1.9407767057418823	0.8601	0.867	0.8635	0.8635	_	0.861	0.8895	0.875	0.875
75	22:22:13	0	0.0016	1.5645525196220496		_	_	_	_	1.939853310585022	0.8601	0.867	0.8635	0.8635	_	0.861	0.8895	0.875	0.875
76	22:24:01	1	0.0016	1.5561060526913368		_	_	_	_	1.9407274723052979	0.8601	0.867	0.8635	0.8635	_	0.861	0.8895	0.875	0.875
77	22:25:52	2	0.0016	1.644562544386891		_	_	_	_	1.9424452781677246	0.8571	0.8654	0.8612	0.8612	_	0.8592	0.8877	0.8732	0.8732
