EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	17:54:34	0	0.1000	14.399444356133255		_	_	_	_	11.484651565551758	0.0357	0.0096	0.0152	0.0151	_	0.0317	0.0074	0.012	0.012
1	17:54:51	0	0.1000	9.329391001064511		_	_	_	_	8.00063419342041	0.6832	0.2869	0.4041	0.4041	_	0.6056	0.2799	0.3829	0.3829
2	17:55:07	0	0.1000	7.389685113562036		_	_	_	_	6.865268707275391	0.7965	0.2949	0.4304	0.4304	_	0.7537	0.2818	0.4102	0.4102
3	17:55:25	0	0.1000	6.559455026699115		_	_	_	_	6.161204814910889	0.8559	0.3141	0.4596	0.4596	_	0.7733	0.3204	0.4531	0.4531
4	17:55:42	0	0.1000	5.9062535220420385		_	_	_	_	5.04851770401001	0.7618	0.5176	0.6164	0.6164	_	0.7683	0.5617	0.6489	0.649
5	17:55:58	0	0.1000	5.393319550476685		_	_	_	_	4.802422523498535	0.8481	0.4744	0.6084	0.6085	_	0.826	0.5157	0.6349	0.635
6	17:56:15	0	0.1000	4.952076357789959		_	_	_	_	4.708132266998291	0.8548	0.5096	0.6386	0.6385	_	0.8348	0.5396	0.6555	0.6555
7	17:56:32	0	0.1000	4.666250833278501		_	_	_	_	4.269636154174805	0.8567	0.4984	0.6302	0.6302	_	0.8391	0.5378	0.6554	0.6555
8	17:56:48	0	0.1000	4.374378303593997		_	_	_	_	3.7752463817596436	0.8346	0.5417	0.6569	0.657	_	0.8512	0.6004	0.7041	0.7041
9	17:57:04	0	0.1000	4.212774351805827		_	_	_	_	3.421383857727051	0.859	0.6346	0.73	0.7299	_	0.8463	0.6593	0.7412	0.7412
10	17:57:23	0	0.1000	4.0175851130978595		_	_	_	_	3.2870492935180664	0.8269	0.6506	0.7283	0.7282	_	0.814	0.6851	0.744	0.744
11	17:57:41	0	0.1000	3.8864776122721136		_	_	_	_	3.1554534435272217	0.827	0.6667	0.7382	0.7382	_	0.8366	0.7072	0.7665	0.7665
12	17:57:58	0	0.1000	3.6960591347397287		_	_	_	_	3.080587863922119	0.8598	0.6683	0.752	0.7521	_	0.8479	0.6777	0.7533	0.7533
13	17:58:15	0	0.1000	3.5553400778945403		_	_	_	_	3.3360908031463623	0.8758	0.6218	0.7273	0.7273	_	0.8725	0.6556	0.7487	0.7487
14	17:58:30	0	0.1000	3.5916844419513727		_	_	_	_	3.1279313564300537	0.858	0.6587	0.7452	0.7453	_	0.8561	0.6796	0.7577	0.7577
15	17:58:45	1	0.1000	3.3427725340860377		_	_	_	_	2.6770544052124023	0.8391	0.7019	0.7644	0.7644	_	0.841	0.7109	0.7705	0.7705
16	17:59:02	0	0.1000	3.4096074145662536		_	_	_	_	2.7906570434570312	0.8594	0.6859	0.7629	0.7629	_	0.8625	0.7164	0.7827	0.7827
17	17:59:18	1	0.1000	3.39632506876329		_	_	_	_	2.560436248779297	0.8502	0.7276	0.7841	0.7841	_	0.8523	0.744	0.7945	0.7945
18	17:59:32	2	0.1000	3.1839031883682547		_	_	_	_	2.474886655807495	0.8407	0.7356	0.7846	0.7846	_	0.8403	0.7366	0.7851	0.785
